Country,NOC,continent
Algeria,ALG,Africa
Angola,ANG,Africa
Benin,BEN,Africa
Botswana,BOT,Africa
Burkina Faso,BUR,Africa
Burundi,BDI,Africa
Cameroon,CMR,Africa
Cabo Verde,CPV,Africa
Central African Republic,CAF,Africa
Chad,CHA,Africa
Comoros,COM,Africa
Congo,CGO,Africa
Democratic Republic of the Congo,COD,Africa
Cote deIvoire,CIV,Africa
Djibouti,DJI,Africa
Egypt,EGY,Africa
Eritrea,ERI,Africa
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Gabon,GAB,Africa
Gambia,GAM,Africa
Ghana,GHA,Africa
Guinea,GUI,Africa
Guinea,Bissau,Africa
Equatorial Guinea,GEQ,Africa
Kenya,KEN,Africa
Lesotho,LES,Africa
Liberia,LBR,Africa
Libya,LBA,Africa
Madagascar,MAD,Africa
Malawi,MAW,Africa
Mali,MLI,Africa
Morocco,MAR,Africa
Mauritius,MRI,Africa
Mauritania,MTN,Africa
Mozambique,MOZ,Africa
Namibia,NAM,Africa
Niger,NIG,Africa
Nigeria,NGR,Africa
Rwanda,RWA,Africa
Sao Tome and Principe,STP,Africa
Senegal,SEN,Africa
Seychelles,SEY,Africa
Sierra Leone,SLE,Africa
Somalia,SOM,Africa
South Africa,RSA,Africa
South Sudan,SSD,Africa
Sudan,SUD,Africa
Uganda,UGA,Africa
United Republic of Tanzania,TAN,Africa
Togo,TOG,Africa
Tunisia,TUN,Africa
Zambia,ZAM,Africa
Zimbabwe,ZIM,Africa
Antigua and Barbuda,ANT,Americas
Argentina,ARG,Americas
Aruba,ARU,Americas
Bahamas,BAH,Americas
Barbados,BAR,Americas
Belize,BIZ,Americas
Bermuda,BER,Americas
Bolivia,BOL,Americas
Brazil,BRA,Americas
Cayman Islands,CAY,Americas
Canada,CAN,Americas
Chile,CHI,Americas
Colombia,COL,Americas
Costa Rica,CRC,Americas
Cuba,CUB,Americas
Dominican Republic,DOM,Americas
Dominica,DMA,Americas
El Salvador,ESA,Americas
Ecuador,ECU,Americas
Grenada,GRN,Americas
Guatemala,GUA,Americas
Guyana,GUY,Americas
Haiti,HAI,Americas
Honduras,HON,Americas
Jamaica,JAM,Americas
Mexico,MEX,Americas
Nicaragua,NCA,Americas
Panama,PAN,Americas
Paraguay,PAR,Americas
Peru,PER,Americas
Puerto Rico,PUR,Americas
Saint Kitts and Nevis,SKN,Americas
Saint Lucia,LCA,Americas
St. Vincent and the Grenadines,VIN,Americas
Suriname,SUR,Americas
Trinidad and Tobago,TTO,Americas
United States of America,USA,Americas
Uruguay,URU,Americas
Venezuela,VEN,Americas
"Virgin Islands, British",IVB,Americas
"Virgin Islands, US",ISV,Americas
Afghanistan,AFG,Asia
Bahrain,BRN,Asia
Bangladesh,BAN,Asia
Bhutan,BHU,Asia
Brunei Darussalam,BRU,Asia
Cambodia,CAM,Asia
Peoples Republic of China,CHN,Asia
Republic of Korea,KOR,Asia
"Hong Kong, China",HKG,Asia
India,IND,Asia
Indonesia,INA,Asia
Islamic Republic of Iran,IRI,Asia
Iraq,IRQ,Asia
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kyrgyzstan,KGZ,Asia
Kuwait,KUW,Asia
Lao Peoples Democratic Republic,LAO,Asia
Lebanon,LBN,Asia
Malaysia,MAS,Asia
Maldives,MDV,Asia
Mongolia,MGL,Asia
Myanmar,MYA,Asia
Nepal,NEP,Asia
Oman,OMA,Asia
Pakistan,PAK,Asia
Palestine,PLE,Asia
Philippines,PHI,Asia
